Date,Open,High,Low,Close,Vol
2013-10-01,141.9,144.4,139.4,140.3,9.57
2013-10-02,140.3,141.9,109.7,123.0,111.32
2013-10-03,123.0,132.0,120.1,131.0,35.27
2013-10-04,131.0,139.8,128.5,136.8,18.51
2013-10-05,136.8,138.0,135.3,136.7,5.00
2013-10-06,136.7,138.0,134.1,137.8,4.89
2013-10-07,137.8,139.0,135.1,135.8,7.36
2013-10-08,135.8,137.8,135.6,136.5,5.23
2013-10-09,136.5,142.1,135.8,139.5,17.49
2013-10-10,139.5,141.7,138.5,140.4,11.08
2013-10-11,140.4,141.9,138.9,140.1,7.25
2013-10-12,140.1,143.1,139.4,142.9,11.02
2013-10-13,142.9,147.6,141.5,147.5,16.17
2013-10-14,147.5,153.7,146.0,151.4,29.99
2013-10-15,151.4,158.1,150.6,158.1,15.73
2013-10-16,158.1,163.0,144.2,152.8,42.78
2013-10-17,152.8,159.9,150.8,157.6,15.88
2013-10-18,157.6,168.3,156.5,168.3,25.89
2013-10-19,168.3,195.8,167.1,183.1,55.28
2013-10-20,183.1,186.1,177.2,186.1,11.42
2013-10-21,186.1,197.4,183.2,192.8,24.10
2013-10-22,192.8,205.5,192.8,203.0,33.87
2013-10-23,203.0,228.0,200.7,228.0,39.90
2013-10-24,228.0,233.4,175.3,207.0,96.75
2013-10-25,207.0,209.0,176.6,197.9,36.75
2013-10-26,197.9,198.4,187.0,188.6,12.09
2013-10-27,188.6,207.8,188.9,206.9,13.16
2013-10-28,206.9,209.8,200.4,206.9,11.07
2013-10-29,206.9,216.5,204.2,216.0,10.02
2013-10-30,216.0,216.5,204.0,208.0,13.47
2013-10-31,208.0,215.0,205.4,211.2,5.29
2013-11-01,211.2,214.9,209.7,213.4,5.88
2013-11-02,213.4,214.9,211.0,211.7,4.88
2013-11-03,211.7,226.9,212.1,224.0,12.27
2013-11-04,224.0,239.0,221.9,238.2,18.06
2013-11-05,238.2,258.9,229.0,251.3,45.10
2013-11-06,251.3,272.5,251.4,264.1,38.82
2013-11-07,264.1,324.2,263.6,309.6,86.13
2013-11-08,309.6,358.0,308.0,355.0,44.63
2013-11-09,355.0,395.0,340.0,367.8,49.91
2013-11-10,367.8,372.5,290.0,336.3,74.25
2013-11-11,336.3,376.0,321.4,363.0,18.00
2013-11-12,363.0,391.8,359.0,380.0,22.03
2013-11-13,380.0,445.0,372.2,434.9,36.02
